signal	files
SET_SPEED : 15|8@0+ (1,0) [0|0] "km/h"  XXX	File(s):lexus_ct200h_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, lexus_nx300h_2018_pt_generated.dbc, lexus_rx_350_2016_pt_generated.dbc, lexus_rx_hybrid_2017_pt_generated.dbc, toyota_avalon_2017_pt_generated.dbc, toyota_camry_hybrid_2018_pt_generated.dbc, toyota_corolla_2017_pt_generated.dbc, toyota_highlander_2017_pt_generated.dbc, toyota_highlander_hybrid_2018_pt_generated.dbc, toyota_nodsu_hybrid_pt_generated.dbc, toyota_nodsu_pt_generated.dbc, toyota_prius_2017_pt_generated.dbc, toyota_rav4_2017_pt_generated.dbc, toyota_rav4_hybrid_2017_pt_generated.dbc, toyota_sienna_xle_2018_pt_generated.dbc, lexus_ct200h_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, lexus_nx300h_2018_pt_generated.dbc, lexus_rx_350_2016_pt_generated.dbc, lexus_rx_hybrid_2017_pt_generated.dbc, toyota_avalon_2017_pt_generated.dbc, toyota_camry_hybrid_2018_pt_generated.dbc, toyota_corolla_2017_pt_generated.dbc, toyota_highlander_2017_pt_generated.dbc, toyota_highlander_hybrid_2018_pt_generated.dbc, toyota_nodsu_hybrid_pt_generated.dbc, toyota_nodsu_pt_generated.dbc, toyota_prius_2010_pt.dbc, toyota_prius_2017_pt_generated.dbc, toyota_rav4_2017_pt_generated.dbc, toyota_rav4_hybrid_2017_pt_generated.dbc, toyota_sienna_xle_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, nissan_leaf_2018.dbc, nissan_x_trail_2017.dbc
SmgrMotYawRate : 14|12@0- (0.05,0) [-102.4|102.35] "deg/s"  CIPM_FO,AMM_FO,EOCM2B_IMX6_FO,EOCM2B_K2_FO,EOCM2B_K1_FO,VIS_FO	File(s):cadillac_ct6_object.dbc
SteeringWheelAngle : 15|16@0- (0.0625,0) [-540|540] "deg"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc, gm_global_a_lowspeed.dbc
SteeringWheelRate : 27|12@0- (0.5,0) [-100|100] "deg/s"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
TractionControlOn : 5|1@0+ (1,0) [0|0] ""  NEO	File(s):gm_global_a_powertrain.dbc
USER_BRAKE_PRESSED : 21|1@0+ (1,0) [0|1] "" XXX	File(s):nissan_x_trail_2017.dbc
VWPFRPM : 23|1@0+ (1,0) [0|0] "" MAV	File(s):toyota_2017_ref_pt.dbc
VehDynYawRate : 35|12@0- (0.0625,0) [-128|127.9375] "deg/sec"  XXX	File(s):gm_global_a_lowspeed_1818125.dbc
VehicleSpeed : 0|12@1+ (0.103,0) [0|255] "kph" XXX	File(s):bmw_e9x_e8x.dbc, gm_global_a_object.dbc, cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
VehicleSpeed_CRC : 0|8@1+ (1,0) [0|255] "" XXX	File(s):vw_mqb_2010.dbc
Vpath_Data2YawRate : 19|12@0- (0.0625,0) [-128|127.9375] "deg/s"  CIPM_FO,DMS_FO,AMM_FO,EOCM2B_IMX6_FO,EOCM2B_K2_FO,EOCM2B_K1_FO,VIS2_FO,NVS_FO,RRSRR_FO,VIS_FO,RSRR_FO,RFSRR_FO,LRR_FO,LFSRR_FO	File(s):cadillac_ct6_object.dbc
WHEEL_MOVING_FL : 6|1@0+ (1,0) [0|1] "" XXX	File(s):mercedes_benz_e350_2010.dbc
WHEEL_MOVING_FR : 22|1@1+ (1,0) [0|15] "" XXX	File(s):mercedes_benz_e350_2010.dbc
WHEEL_MOVING_RL : 38|1@0+ (1,0) [0|1] "" XXX	File(s):mercedes_benz_e350_2010.dbc
WHEEL_SPEED_FL : 23|16@0+ (0.005,0) [0|65535] "KPH" XXX	File(s):nissan_leaf_2018.dbc, nissan_x_trail_2017.dbc, toyota_prius_2010_pt.dbc, lexus_ct200h_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, lexus_nx300h_2018_pt_generated.dbc, lexus_rx_350_2016_pt_generated.dbc, lexus_rx_hybrid_2017_pt_generated.dbc, toyota_avalon_2017_pt_generated.dbc, toyota_camry_hybrid_2018_pt_generated.dbc, toyota_corolla_2017_pt_generated.dbc, toyota_highlander_2017_pt_generated.dbc, toyota_highlander_hybrid_2018_pt_generated.dbc, toyota_nodsu_hybrid_pt_generated.dbc, toyota_nodsu_pt_generated.dbc, toyota_prius_2017_pt_generated.dbc, toyota_rav4_2017_pt_generated.dbc, toyota_rav4_hybrid_2017_pt_generated.dbc, toyota_sienna_xle_2018_pt_generated.dbc, mercedes_benz_e350_2010.dbc, chrysler_pacifica_2017_hybrid.dbc, honda_accord_touring_2016_can.dbc, acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_accord_touring_2016_can.dbc
WHEEL_SPEED_FR : 15|8@0+ (1,0) [0|255] "mph" EON	File(s):acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_accord_touring_2016_can.dbc, mercedes_benz_e350_2010.dbc, chrysler_pacifica_2017_hybrid.dbc, nissan_leaf_2018.dbc, nissan_x_trail_2017.dbc, toyota_prius_2010_pt.dbc, lexus_ct200h_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, lexus_nx300h_2018_pt_generated.dbc, lexus_rx_350_2016_pt_generated.dbc, lexus_rx_hybrid_2017_pt_generated.dbc, toyota_avalon_2017_pt_generated.dbc, toyota_camry_hybrid_2018_pt_generated.dbc, toyota_corolla_2017_pt_generated.dbc, toyota_highlander_2017_pt_generated.dbc, toyota_highlander_hybrid_2018_pt_generated.dbc, toyota_nodsu_hybrid_pt_generated.dbc, toyota_nodsu_pt_generated.dbc, toyota_prius_2017_pt_generated.dbc, toyota_rav4_2017_pt_generated.dbc, toyota_rav4_hybrid_2017_pt_generated.dbc, toyota_sienna_xle_2018_pt_generated.dbc, honda_accord_touring_2016_can.dbc, acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc
WHEEL_SPEED_RL : 23|16@0+ (0.005,0) [0|65535] "KPH" XXX	File(s):nissan_leaf_2018.dbc, nissan_x_trail_2017.dbc, acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_accord_touring_2016_can.dbc, honda_accord_touring_2016_can.dbc, mercedes_benz_e350_2010.dbc, chrysler_pacifica_2017_hybrid.dbc, toyota_prius_2010_pt.dbc, lexus_ct200h_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, lexus_nx300h_2018_pt_generated.dbc, lexus_rx_350_2016_pt_generated.dbc, lexus_rx_hybrid_2017_pt_generated.dbc, toyota_avalon_2017_pt_generated.dbc, toyota_camry_hybrid_2018_pt_generated.dbc, toyota_corolla_2017_pt_generated.dbc, toyota_highlander_2017_pt_generated.dbc, toyota_highlander_hybrid_2018_pt_generated.dbc, toyota_nodsu_hybrid_pt_generated.dbc, toyota_nodsu_pt_generated.dbc, toyota_prius_2017_pt_generated.dbc, toyota_rav4_2017_pt_generated.dbc, toyota_rav4_hybrid_2017_pt_generated.dbc, toyota_sienna_xle_2018_pt_generated.dbc
WIPERS : 17|2@0+ (1,0) [0|3]  "" EON	File(s):honda_accord_lx15t_2018_can_generated.dbc, honda_accord_s2t_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_hybrid_2019_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, subaru_global_2017_generated.dbc, subaru_global_2020_hybrid_generated.dbc
WIPERS_SPEED : 4|2@0+ (1,0) [0|3] "" EON	File(s):acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_accord_touring_2016_can.dbc
WheelSpeedFL : 7|16@0+ (0.01,0) [0|70] "yd/s"  NEO	File(s):gm_global_a_lowspeed.dbc, gm_global_a_lowspeed.dbc
WheelSpeedRR : 55|16@0+ (0.01,0) [0|70] "yd/s"  NEO	File(s):gm_global_a_lowspeed.dbc
YawRate : 35|12@0- (0.625,0) [0|1] "" NEO	File(s):gm_global_a_powertrain.dbc, cadillac_ct6_powertrain.dbc
