signal	files
DOORS_UNLOCKED : 54|1@0+ (1,0) [0|1] "" EON	File(s):acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc
DOOR_CLOSED_FL : 0|1@0+ (1,0) [0|1] "" XXX	File(s):mercedes_benz_e350_2010.dbc, nissan_x_trail_2017.dbc, mercedes_benz_e350_2010.dbc
DOOR_CLOSED_FR : 46|1@0+ (1,0) [0|3] "" XXX	File(s):nissan_x_trail_2017.dbc
DOOR_CLOSED_RL : 42|1@0+ (1,0) [0|1] "" XXX	File(s):nissan_x_trail_2017.dbc, mercedes_benz_e350_2010.dbc
DOOR_CLOSED_RR : 40|1@0+ (1,0) [0|1] "" XXX	File(s):nissan_x_trail_2017.dbc, mercedes_benz_e350_2010.dbc
DOOR_OPEN_FL : 17|1@0+ (1,0) [0|1] "" XXX	File(s):chrysler_pacifica_2017_hybrid.dbc, mercedes_benz_e350_2010.dbc, subaru_forester_2017_generated.dbc, subaru_outback_2015_generated.dbc, subaru_outback_2019_generated.dbc, subaru_global_2017_generated.dbc, subaru_global_2020_hybrid_generated.dbc, acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, nissan_leaf_2018.dbc, lexus_ct200h_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, lexus_nx300h_2018_pt_generated.dbc, lexus_rx_350_2016_pt_generated.dbc, lexus_rx_hybrid_2017_pt_generated.dbc, nissan_x_trail_2017.dbc, toyota_avalon_2017_pt_generated.dbc, toyota_camry_hybrid_2018_pt_generated.dbc, toyota_corolla_2017_pt_generated.dbc, toyota_highlander_2017_pt_generated.dbc, toyota_highlander_hybrid_2018_pt_generated.dbc, toyota_nodsu_hybrid_pt_generated.dbc, toyota_nodsu_pt_generated.dbc, toyota_prius_2010_pt.dbc, toyota_prius_2017_pt_generated.dbc, toyota_rav4_2017_pt_generated.dbc, toyota_rav4_hybrid_2017_pt_generated.dbc, toyota_sienna_xle_2018_pt_generated.dbc
DOOR_OPEN_FR : 18|1@0+ (1,0) [0|1] "" XXX	File(s):chrysler_pacifica_2017_hybrid.dbc, subaru_forester_2017_generated.dbc, subaru_outback_2015_generated.dbc, subaru_outback_2019_generated.dbc, subaru_global_2017_generated.dbc, subaru_global_2020_hybrid_generated.dbc, acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_accord_touring_2016_can.dbc, mercedes_benz_e350_2010.dbc, lexus_ct200h_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, lexus_nx300h_2018_pt_generated.dbc, lexus_rx_350_2016_pt_generated.dbc, lexus_rx_hybrid_2017_pt_generated.dbc, toyota_avalon_2017_pt_generated.dbc, toyota_camry_hybrid_2018_pt_generated.dbc, toyota_corolla_2017_pt_generated.dbc, toyota_highlander_2017_pt_generated.dbc, toyota_highlander_hybrid_2018_pt_generated.dbc, toyota_nodsu_hybrid_pt_generated.dbc, toyota_nodsu_pt_generated.dbc, toyota_prius_2010_pt.dbc, toyota_prius_2017_pt_generated.dbc, toyota_rav4_2017_pt_generated.dbc, toyota_rav4_hybrid_2017_pt_generated.dbc, toyota_sienna_xle_2018_pt_generated.dbc, nissan_x_trail_2017.dbc, nissan_leaf_2018.dbc
DOOR_OPEN_RL : 19|1@0+ (1,0) [0|1] "" XXX	File(s):chrysler_pacifica_2017_hybrid.dbc, subaru_forester_2017_generated.dbc, subaru_outback_2015_generated.dbc, subaru_outback_2019_generated.dbc, subaru_global_2017_generated.dbc, subaru_global_2020_hybrid_generated.dbc, acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_accord_touring_2016_can.dbc, lexus_ct200h_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, lexus_nx300h_2018_pt_generated.dbc, lexus_rx_350_2016_pt_generated.dbc, lexus_rx_hybrid_2017_pt_generated.dbc, toyota_avalon_2017_pt_generated.dbc, toyota_camry_hybrid_2018_pt_generated.dbc, toyota_corolla_2017_pt_generated.dbc, toyota_highlander_2017_pt_generated.dbc, toyota_highlander_hybrid_2018_pt_generated.dbc, toyota_nodsu_hybrid_pt_generated.dbc, toyota_nodsu_pt_generated.dbc, toyota_prius_2010_pt.dbc, toyota_prius_2017_pt_generated.dbc, toyota_rav4_2017_pt_generated.dbc, toyota_rav4_hybrid_2017_pt_generated.dbc, toyota_sienna_xle_2018_pt_generated.dbc, nissan_x_trail_2017.dbc, nissan_leaf_2018.dbc, mercedes_benz_e350_2010.dbc
DOOR_OPEN_RR : 20|1@0+ (1,0) [0|1] "" XXX	File(s):chrysler_pacifica_2017_hybrid.dbc, subaru_forester_2017_generated.dbc, subaru_outback_2015_generated.dbc, subaru_outback_2019_generated.dbc, subaru_global_2017_generated.dbc, subaru_global_2020_hybrid_generated.dbc, acura_ilx_2016_can_generated.dbc, acura_rdx_2018_can_generated.dbc, honda_civic_hatchback_ex_2017_can_generated.dbc, honda_civic_sedan_16_diesel_2019_can_generated.dbc, honda_civic_touring_2016_can_generated.dbc, honda_clarity_hybrid_2018_can_generated.dbc, honda_crv_ex_2017_can_generated.dbc, honda_crv_executive_2016_can_generated.dbc, honda_crv_touring_2016_can_generated.dbc, honda_fit_ex_2018_can_generated.dbc, honda_fit_hybrid_2018_can_generated.dbc, honda_hrv_touring_2019_can_generated.dbc, honda_insight_ex_2019_can_generated.dbc, honda_odyssey_exl_2018_generated.dbc, honda_odyssey_extreme_edition_2018_china_can_generated.dbc, honda_pilot_touring_2017_can_generated.dbc, honda_ridgeline_black_edition_2017_can_generated.dbc, honda_accord_touring_2016_can.dbc, nissan_x_trail_2017.dbc, lexus_ct200h_2018_pt_generated.dbc, lexus_gs300h_2017_pt_generated.dbc, lexus_is_2018_pt_generated.dbc, lexus_nx300h_2018_pt_generated.dbc, lexus_rx_350_2016_pt_generated.dbc, lexus_rx_hybrid_2017_pt_generated.dbc, toyota_avalon_2017_pt_generated.dbc, toyota_camry_hybrid_2018_pt_generated.dbc, toyota_corolla_2017_pt_generated.dbc, toyota_highlander_2017_pt_generated.dbc, toyota_highlander_hybrid_2018_pt_generated.dbc, toyota_nodsu_hybrid_pt_generated.dbc, toyota_nodsu_pt_generated.dbc, toyota_prius_2010_pt.dbc, toyota_prius_2017_pt_generated.dbc, toyota_rav4_2017_pt_generated.dbc, toyota_rav4_hybrid_2017_pt_generated.dbc, toyota_sienna_xle_2018_pt_generated.dbc, nissan_leaf_2018.dbc, mercedes_benz_e350_2010.dbc
DTCI_CurrentStatus_78A : 41|1@0+ (1,0) [0|1] ""  TestTool_FO	File(s):cadillac_ct6_object.dbc
